"dataset","matrix_name","dataset_id","gene_name","gene_id","ML_model_code","ML_best_model","ML_alisim_model","ML_logl","ML_unconstrained_logl","ML_numFreeParams","ML_BIC","ML_tree_length","ML_sumInternalBL","CTEN_LogL","CTEN_Unconstrained_LogL","CTEN_NumFreeParams","CTEN_BIC","CTEN_TreeLength","CTEN_SumInternalBL","PORI_LogL","PORI_Unconstrained_LogL","PORI_NumFreeParams","PORI_BIC","PORI_TreeLength","PORI_SumInternalBL","CTEN_PORI_LogL","CTEN_PORI_Unconstrained_LogL","CTEN_PORI_NumFreeParams","CTEN_PORI_BIC","CTEN_PORI_TreeLength","CTEN_PORI_SumInternalBL"
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0012","Borowiec2015.Best108.gene_0012","Q.insect","Q.insect+G4","Q.insect+G4{0.809152}",-7352.259,-1101.1002,62,15035.1466,11.7575,2.17,-7361.1071,-1101.1002,61,15047.51,11.5303,2.1484,-7366.1819,-1101.1002,61,15057.6596,11.5828,2.1073,-7369.7395,-1101.1002,61,15064.7749,11.7693,2.1409
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0013","Borowiec2015.Best108.gene_0013","Q.yeast","Q.yeast+I+G4","Q.yeast+I{0.121537}+G4{0.802508}",-8404.807,-1399.8601,67,17181.4021,12.7861,2.6162,-8424.657,-1399.8601,65,17210.004,12.8772,2.6937,-8422.825,-1399.8601,65,17206.3399,13.1088,2.7431,-8423.1795,-1399.8601,65,17207.0489,12.8219,2.6668
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0014","Borowiec2015.Best108.gene_0014","Q.insect","Q.insect+I+R4","Q.insect+I{0.0279511}+R4{0.22011,0.16942,0.394675,0.649212,0.268796,1.45188,0.0884684,3.5744}",-43331.9827,-8474.9847,72,87174.2707,17.0682,3.9913,-43347.6197,-8474.9847,65,87155.9317,17.0932,3.9612,-43350.1253,-8474.9847,65,87160.9429,17.1,3.9613,-43352.7337,-8474.9847,65,87166.1596,17.1111,3.9775
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0015","Borowiec2015.Best108.gene_0015","Q.yeast","Q.yeast+G4","Q.yeast+G4{0.942125}",-7934.7269,-1429.5144,68,16247.3181,10.6043,1.8546,-7941.2819,-1429.5144,67,16254.8712,10.5374,1.8393,-7938.8976,-1429.5144,67,16250.1026,10.5728,1.7262,-7939.6947,-1429.5144,67,16251.6969,10.6354,1.7811
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0016","Borowiec2015.Best108.gene_0016","LG","LG+R5","LG+R5{0.155896,0.0357393,0.307013,0.239316,0.298845,0.741209,0.220969,2.05557,0.0172765,14.1945}",-18135.6822,-3614.1319,75,36747.4186,18.8789,3.6982,-18135.672,-3614.1319,67,36696.619,18.9865,3.7132,-18135.672,-3614.1319,67,36696.6191,18.9931,3.7137,-18135.6721,-3614.1319,67,36696.6192,18.9952,3.7139
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0017","Borowiec2015.Best108.gene_0017","Q.insect","Q.insect+R4","Q.insect+R4{0.317863,0.101488,0.316451,0.564846,0.256982,1.45363,0.108704,3.82173}",-17056.8244,-2856.2894,73,34562.3308,16.5178,2.6503,-17068.8906,-2856.2894,67,34549.5854,16.5932,2.5826,-17068.8908,-2856.2894,67,34549.5856,16.6004,2.5835,-17068.8911,-2856.2894,67,34549.5862,16.572,2.5802
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0018","Borowiec2015.Best108.gene_0018","Q.yeast","Q.yeast+R4","Q.yeast+R4{0.338146,0.0823079,0.210822,0.444684,0.3333,1.46341,0.117732,3.31826}",-9203.0682,-1397.175,71,18799.007,15.2116,2.6315,-9211.3812,-1397.175,65,18782.4328,15.2397,2.4938,-9220.8169,-1397.175,65,18801.3041,14.8439,2.4496,-9216.8626,-1397.175,65,18793.3955,15.3399,2.661
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0019","Borowiec2015.Best108.gene_0019","Q.yeast","Q.yeast+I+G4","Q.yeast+I{0.0554629}+G4{0.923087}",-16739.3504,-2298.4839,69,33890.0101,17.0127,2.9788,-16744.2655,-2298.4839,67,33887.9183,17.0124,2.8856,-16744.5856,-2298.4839,67,33888.5586,16.9844,2.8782,-16743.3543,-2298.4839,67,33886.096,16.9181,2.9301
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0020","Borowiec2015.Best108.gene_0020","Q.insect","Q.insect+R3","Q.insect+R3{0.645845,0.24388,0.250305,1.63113,0.10385,4.18115}",-8326.2946,-2625.2329,61,17024.5718,5.3909,0.663,-8348.471,-2625.2329,57,17044.5322,5.4563,0.7153,-8353.728,-2625.2329,57,17055.0462,5.4314,0.7045,-8347.0043,-2625.2329,57,17041.5988,5.434,0.7407
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0021","Borowiec2015.Best108.gene_0021","Q.insect","Q.insect+I+G4","Q.insect+I{0.044145}+G4{1.17379}",-17637.5912,-2616.0147,65,35669.63,16.1273,2.9398,-17637.5913,-2616.0147,63,35657.4933,16.1211,2.9399,-17637.5911,-2616.0147,63,35657.4931,16.1286,2.9402,-17637.5912,-2616.0147,63,35657.4932,16.1245,2.9396
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0022","Borowiec2015.Best108.gene_0022","LG","LG+G4","LG+G4{0.767361}",-15394.5574,-2982.4795,70,31222.2932,10.8635,2.2906,-15409.7058,-2982.4795,69,31246.4018,11.0339,2.3617,-15408.8478,-2982.4795,69,31244.6858,11.0268,2.3709,-15408.2189,-2982.4795,69,31243.428,11.1392,2.3748
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0023","Borowiec2015.Best108.gene_0023","LG","LG+I+G4","LG+I{0.137003}+G4{0.777588}",-10171.6556,-1857.9023,67,20730.8275,13.4761,2.1495,-10205.0045,-1857.9023,65,20785.9576,13.8963,2.0383,-10208.2128,-1857.9023,65,20792.3742,14.1023,1.877,-10208.7813,-1857.9023,65,20793.5112,14.1059,1.8458
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0024","Borowiec2015.Best108.gene_0024","Q.insect","Q.insect+I+G4","Q.insect+I{0.0935015}+G4{1.08298}",-19687.9782,-3588.182,67,39801.3487,12.3815,2.2483,-19702.5131,-3588.182,65,39817.7203,12.4728,2.2628,-19703.6381,-3588.182,65,39819.9703,12.4873,2.2683,-19703.6381,-3588.182,65,39819.9703,12.4865,2.2685
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0025","Borowiec2015.Best108.gene_0025","Q.insect","Q.insect+I+G4","Q.insect+I{0.100362}+G4{0.879301}",-6135.8341,-1036.5487,67,12626.3197,12.2748,2.2055,-6145.8497,-1036.5487,65,12635.7643,12.4598,2.1995,-6145.8497,-1036.5487,65,12635.7643,12.4592,2.1995,-6145.8498,-1036.5487,65,12635.7644,12.4613,2.1997
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0026","Borowiec2015.Best108.gene_0026","Q.insect","Q.insect+G4","Q.insect+G4{1.36668}",-7003.1256,-879.2245,62,14325.0343,15.9678,3.7259,-7007.5639,-879.2245,61,14328.7692,16.1132,3.7446,-7005.4479,-879.2245,61,14324.5373,16.0342,3.7549,-7008.9337,-879.2245,61,14331.5089,16.1017,3.703
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0027","Borowiec2015.Best108.gene_0027","Q.insect","Q.insect+G4","Q.insect+G4{1.25675}",-17693.188,-3512.9609,66,35803.5468,15.9088,2.3722,-17699.6238,-3512.9609,65,35810.0975,16.0062,2.2608,-17701.3746,-3512.9609,65,35813.5991,16.048,2.2527,-17701.1658,-3512.9609,65,35813.1815,15.8522,2.2357
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0028","Borowiec2015.Best108.gene_0028","Q.yeast","Q.yeast+I+G4","Q.yeast+I{0.168984}+G4{0.921285}",-5686.5168,-968.5133,67,11723.5179,8.9898,2.2511,-5696.2748,-968.5133,65,11732.5717,8.8318,2.0762,-5690.9369,-968.5133,65,11721.8959,8.7243,2.0683,-5696.7118,-968.5133,65,11733.4456,8.8394,2.0704
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0029","Borowiec2015.Best108.gene_0029","Q.insect","Q.insect+F+G4","Q.insect+F+G4{0.706533}",-3223.3896,-584.444,87,6865.4392,8.279,2.1131,-3223.8436,-584.444,86,6861.5351,8.3465,2.1079,-3223.8435,-584.444,86,6861.5349,8.3471,2.108,-3223.3896,-584.444,86,6860.627,8.2791,2.1131
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0030","Borowiec2015.Best108.gene_0030","Q.yeast","Q.yeast+G4","Q.yeast+G4{1.19713}",-16037.8114,-2470.4343,66,32473.0103,16.2812,3.8696,-16045.8982,-2470.4343,65,32483.163,16.4146,3.7898,-16044.1057,-2470.4343,65,32479.5778,16.333,3.7819,-16045.7373,-2470.4343,65,32482.8411,16.3517,3.8092
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0031","Borowiec2015.Best108.gene_0031","Q.pfam","Q.pfam+R4","Q.pfam+R4{0.215741,0.136015,0.287645,0.522983,0.391166,1.27736,0.105447,3.04003}",-17226.6756,-2543.9484,69,34870.2928,16.905,3.0651,-17228.6995,-2543.9484,63,34838.0849,17.0363,2.9217,-17252.6693,-2543.9484,63,34886.0245,17.16,2.884,-17252.4171,-2543.9484,63,34885.52,17.1364,2.9029
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0032","Borowiec2015.Best108.gene_0032","Q.insect","Q.insect+I+G4","Q.insect+I{0.0862155}+G4{1.28988}",-7876.3736,-1536.2943,71,16151.5379,9.7521,2.0053,-7882.0133,-1536.2943,69,16151.5837,9.7913,2.0248,-7884.1957,-1536.2943,69,16155.9486,9.7901,1.9952,-7884.6068,-1536.2943,69,16156.7709,9.816,1.9993
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0033","Borowiec2015.Best108.gene_0033","Q.insect","Q.insect+I+R3","Q.insect+I{0.159085}+R3{0.391093,0.216628,0.342781,1.31287,0.10704,4.3465}",-7694.8819,-1635.5182,72,15798.7362,7.8963,1.4976,-7697.7871,-1635.5182,67,15776.1457,7.8286,1.4372,-7699.4764,-1635.5182,67,15779.5243,7.9069,1.4476,-7694.8819,-1635.5182,67,15770.3353,7.8973,1.4977
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0034","Borowiec2015.Best108.gene_0034","Q.insect","Q.insect+R4","Q.insect+R4{0.280533,0.107832,0.304533,0.553187,0.335571,1.47642,0.0793634,3.8537}",-11876.0397,-2068.3668,73,24180.538,11.0891,2.0058,-11880.0094,-2068.3668,67,24153.2617,11.3093,2.0743,-11885.8126,-2068.3668,67,24164.8681,11.3903,2.064,-11885.8176,-2068.3668,67,24164.878,11.3874,2.0631
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0035","Borowiec2015.Best108.gene_0035","Q.insect","Q.insect+I+G4","Q.insect+I{0.0575572}+G4{1.05887}",-16691.2728,-2684.0412,71,33815.0286,14.311,2.4446,-16703.1445,-2684.0412,69,33826.5894,14.2404,2.5427,-16714.1908,-2684.0412,69,33848.6821,14.4411,2.587,-16712.7448,-2684.0412,69,33845.7899,14.3509,2.598
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0036","Borowiec2015.Best108.gene_0036","Q.insect","Q.insect+I+R4","Q.insect+I{0.0596775}+R4{0.326044,0.165614,0.322145,0.69424,0.229364,1.77969,0.0627689,5.005}",-14789.2228,-2802.2905,72,30020.0503,12.071,3.0188,-14797.6644,-2802.2905,65,29993.9996,12.2588,2.8223,-14797.6644,-2802.2905,65,29993.9998,12.255,2.8216,-14790.1931,-2802.2905,65,29979.0571,12.2308,2.9043
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0037","Borowiec2015.Best108.gene_0037","Q.insect","Q.insect+G4","Q.insect+G4{0.825451}",-7621.2867,-1083.5102,66,15593.5694,16.4878,3.1437,-7633.8264,-1083.5102,65,15613.3306,16.367,3.4593,-7634.6374,-1083.5102,65,15614.9525,16.7284,3.4473,-7635.381,-1083.5102,65,15616.4397,16.6412,3.6298
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0038","Borowiec2015.Best108.gene_0038","Q.insect","Q.insect+I+R3","Q.insect+I{0.148377}+R3{0.481049,0.345036,0.311267,1.68557,0.0593076,5.21617}",-7947.0708,-2088.8023,68,16294.961,5.8942,1.2028,-7967.6646,-2088.8023,63,16306.6766,5.965,1.1862,-7967.6646,-2088.8023,63,16306.6766,5.9652,1.1862,-7963.6754,-2088.8023,63,16298.6982,5.8658,1.2021
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0039","Borowiec2015.Best108.gene_0039","Q.yeast","Q.yeast+G4","Q.yeast+G4{1.34866}",-12619.7667,-1616.2274,66,25612.8288,16.7229,3.3221,-12634.1535,-1616.2274,65,25635.9464,17.0346,3.2212,-12634.1536,-1616.2274,65,25635.9466,17.0402,3.2219,-12633.3985,-1616.2274,65,25634.4364,16.997,3.2562
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0040","Borowiec2015.Best108.gene_0040","LG","LG+I+G4","LG+I{0.0573849}+G4{1.1161}",-10921.7565,-1508.8013,69,22229.8041,15.8787,3.1092,-10957.7196,-1508.8013,67,22290.5334,16.1542,3.1391,-10955.8069,-1508.8013,67,22286.7082,15.9882,3.1425,-10957.1884,-1508.8013,67,22289.4711,16.0472,3.216
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0041","Borowiec2015.Best108.gene_0041","LG","LG+R4","LG+R4{0.226425,0.119846,0.305266,0.530631,0.35842,1.31327,0.109888,3.09567}",-19495.9149,-3013.9424,75,39456.1035,15.2002,2.8861,-19497.5017,-3013.9424,69,39422.1351,15.1017,2.8934,-19497.409,-3013.9424,69,39421.9498,15.1049,2.8959,-19497.2988,-3013.9424,69,39421.7294,15.0849,2.9294
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0042","Borowiec2015.Best108.gene_0042","Q.insect","Q.insect+I+G4","Q.insect+I{0.028671}+G4{1.23578}",-23930.5833,-3800.4726,59,48238.2897,16.9214,3.0674,-23944.9954,-3800.4726,57,48254.33,17.1715,3.1437,-23945.4911,-3800.4726,57,48255.3215,17.1778,3.1182,-23945.5085,-3800.4726,57,48255.3562,17.2043,3.1341
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0043","Borowiec2015.Best108.gene_0043","Q.insect","Q.insect+I+G4","Q.insect+I{0.0224903}+G4{1.4733}",-23304.7722,-2907.1837,63,46997.5675,21.1591,3.9011,-23308.6816,-2907.1837,61,46993.068,20.9606,3.8568,-23307.2735,-2907.1837,61,46990.2517,21.1648,3.9086,-23309.4381,-2907.1837,61,46994.5811,20.9866,3.8719
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0044","Borowiec2015.Best108.gene_0044","Q.insect","Q.insect+I+G4","Q.insect+I{0.0360636}+G4{1.17443}",-20245.9187,-3356.8538,65,40900.1846,17.4067,3.2188,-20263.6994,-3356.8538,63,40923.1816,17.7551,3.2119,-20263.7795,-3356.8538,63,40923.3418,17.8072,3.206,-20263.4093,-3356.8538,63,40922.6013,17.8331,3.2169
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0045","Borowiec2015.Best108.gene_0045","Q.insect","Q.insect+G4","Q.insect+G4{0.638336}",-7704.1797,-1213.9405,70,15787.4864,19.3541,3.3223,-7719.6713,-1213.9405,69,15813.0536,19.0298,3.1292,-7719.9156,-1213.9405,69,15813.5422,18.9604,3.1154,-7714.9298,-1213.9405,69,15803.5705,19.5795,3.1557
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0046","Borowiec2015.Best108.gene_0046","LG","LG+R4","LG+R4{0.335684,0.133056,0.245827,0.56687,0.315163,1.47524,0.103326,3.39745}",-12206.3254,-2018.9651,73,24839.6514,12.7035,2.0597,-12220.4708,-2018.9651,67,24832.8463,12.8824,1.9756,-12218.9999,-2018.9651,67,24829.9045,12.8106,1.9717,-12221.9086,-2018.9651,67,24835.722,12.9732,2.0095
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0047","Borowiec2015.Best108.gene_0047","Q.insect","Q.insect+R4","Q.insect+R4{0.0878404,0.102138,0.288946,0.428187,0.447394,1.08116,0.17582,2.18178}",-26156.8633,-3527.606,73,52775.4048,22.3152,4.4684,-26171.6659,-3527.606,67,52767.0638,22.4214,4.6362,-26166.0249,-3527.606,67,52755.7818,22.2733,4.6366,-26171.0566,-3527.606,67,52765.8453,22.4007,4.6963
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0048","Borowiec2015.Best108.gene_0048","Q.insect","Q.insect+R4","Q.insect+R4{0.440667,0.121763,0.334248,0.874883,0.206873,2.471,0.0182115,7.83752}",-12681.0849,-3214.7009,71,25806.3281,7.4194,1.5722,-12701.9026,-3214.7009,65,25810.4289,7.4363,1.4854,-12698.2104,-3214.7009,65,25803.0446,7.5024,1.6023,-12691.813,-3214.7009,65,25790.2498,7.4827,1.6344
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0049","Borowiec2015.Best108.gene_0049","Q.insect","Q.insect+G4","Q.insect+G4{1.04174}",-3465.557,-650.2421,64,7244.5757,7.0486,1.3582,-3474.1962,-650.2421,63,7256.9564,7.2584,1.4187,-3474.2111,-650.2421,63,7256.9861,7.235,1.4205,-3474.4577,-650.2421,63,7257.4793,7.2849,1.3876
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0050","Borowiec2015.Best108.gene_0050","Q.insect","Q.insect+R4","Q.insect+R4{0.621196,0.165856,0.226038,0.901931,0.0985509,2.67839,0.0542158,7.91546}",-4066.4869,-1206.3132,65,8487.2913,4.4503,0.7956,-4095.2844,-1206.3132,59,8512.18,4.5449,0.8195,-4098.8361,-1206.3132,59,8519.2834,4.4961,0.7989,-4098.835,-1206.3132,59,8519.2812,4.4959,0.7998
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0051","Borowiec2015.Best108.gene_0051","LG","LG+R4","LG+R4{0.165782,0.142338,0.412435,0.598274,0.369717,1.39507,0.052066,4.1077}",-7962.948,-1018.6686,71,16299.9139,13.9376,3.048,-7986.0814,-1018.6686,65,16314.5735,14.2281,3.0887,-7988.437,-1018.6686,65,16319.2847,14.5053,3.0063,-7985.5077,-1018.6686,65,16313.4262,14.3679,3.0026
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0052","Borowiec2015.Best108.gene_0052","LG","LG+I+R3","LG+I{0.0818236}+R3{0.35927,0.337696,0.506542,1.24426,0.0523647,4.74381}",-4673.1978,-697.659,68,9683.3919,10.5238,2.1285,-4701.8585,-697.659,63,9715.9341,10.8576,2.3651,-4705.2262,-697.659,63,9722.6695,10.7344,2.0809,-4701.418,-697.659,63,9715.0531,10.5771,2.2161
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0053","Borowiec2015.Best108.gene_0053","Q.insect","Q.insect+G4","Q.insect+G4{0.736291}",-13689.255,-2284.0438,60,27735.8603,14.9163,2.1364,-13693.8073,-2284.0438,59,27739.0091,15.3421,2.3645,-13693.6617,-2284.0438,59,27738.7178,15.3788,2.3578,-13692.8021,-2284.0438,59,27736.9985,15.3741,2.441
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0054","Borowiec2015.Best108.gene_0054","LG","LG+G4","LG+G4{1.21506}",-9286.5009,-1450.9535,64,18929.131,12.0038,3.9024,-9286.2609,-1450.9535,63,18923.0867,12.2165,4.1086,-9287.9437,-1450.9535,63,18926.4523,12.2504,4.0836,-9286.2603,-1450.9535,63,18923.0853,12.2142,4.11
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0055","Borowiec2015.Best108.gene_0055","Q.insect","Q.insect+R2","Q.insect+R2{0.740199,0.397651,0.259801,2.71615}",-3075.7663,-693.093,63,6463.3045,6.1716,0.9216,-3085.4546,-693.093,61,6472.7836,6.138,0.9416,-3090.2357,-693.093,61,6482.3457,6.3135,0.8902,-3086.7065,-693.093,61,6475.2873,6.1365,0.9016
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0056","Borowiec2015.Best108.gene_0056","LG","LG+I+G4","LG+I{0.083818}+G4{0.748825}",-14517.4797,-2062.9036,67,29429.142,18.2762,4.4694,-14541.1159,-2062.9036,65,29464.6477,18.7972,4.5403,-14542.7998,-2062.9036,65,29468.0155,18.8301,4.514,-14541.2429,-2062.9036,65,29464.9017,18.7601,4.4927
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0057","Borowiec2015.Best108.gene_0057","Q.insect","Q.insect+I+R4","Q.insect+I{0.142022}+R4{0.364555,0.230005,0.252422,0.84925,0.174788,2.13168,0.0662121,4.97172}",-25531.1778,-6344.1404,68,51528.4517,10.2173,1.7562,-25531.1768,-6344.1404,61,51480.4692,10.2273,1.7572,-25538.7086,-6344.1404,61,51495.5329,10.264,1.7525,-25541.3295,-6344.1404,61,51500.7747,10.3038,1.761
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0058","Borowiec2015.Best108.gene_0058","Q.insect","Q.insect+I+G4","Q.insect+I{0.0221313}+G4{1.3044}",-26492.3437,-4178.7502,67,53418.231,17.5421,3.4477,-26498.2009,-4178.7502,65,53417.0038,17.7577,3.2733,-26497.7342,-4178.7502,65,53416.0703,17.7426,3.2568,-26492.3437,-4178.7502,65,53405.2894,17.5433,3.4479
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0059","Borowiec2015.Best108.gene_0059","Q.yeast","Q.yeast+R4","Q.yeast+R4{0.4274,0.100259,0.254221,0.684004,0.252558,1.80484,0.0658204,4.97463}",-10356.0835,-1860.7993,71,21123.0367,13.1101,2.6201,-10356.0837,-1860.7993,65,21088.3158,13.0996,2.6192,-10359.9384,-1860.7993,65,21096.0252,13.0689,2.6033,-10359.9392,-1860.7993,65,21096.0267,13.1464,2.6508
"Borowiec2015","Best108","Borowiec2015.Best108","gene_0060","Borowiec2015.Best108.gene_0060","LG","LG+R3","LG+R3{0.755278,0.208663,0.180277,2.07723,0.0644444,7.26088}",-3226.648,-1000.4197,69,6821.2537,3.5992,0.6824,-3236.2829,-1000.4197,65,6819.1925,3.3204,0.618,-3239.2372,-1000.4197,65,6825.1011,3.3604,0.6378,-3239.2367,-1000.4197,65,6825.1002,3.3601,0.6378
